position_at,latitude,longitude,address
2020-06-12 18:28:57+00,36.0924755555556,-79.8142755555556,"1800 Battleground Avenue, Greensboro, NC 27408"
2020-06-12 18:29:27+00,36.0963088888889,-79.8167022222222,"2158 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:29:57+00,36.1008422222222,-79.8184444444445,"2447 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:30:27+00,36.1028555555556,-79.8191111111111,"2645 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:30:41+00,36.1031377777778,-79.8192177777778,"2604 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:30:43+00,36.1031911111111,-79.8193688888889,"2604 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:30:58+00,36.1032222222222,-79.8200266666667,"2647 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:31:42+00,36.1032755555556,-79.8202488888889,"2645 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:32:42+00,36.1032333333333,-79.82032,"2645 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:32:57+00,36.1031044444444,-79.82096,"2637 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:32:59+00,36.1030244444444,-79.8209422222222,"2637 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:33:01+00,36.1029844444444,-79.8208355555556,"2637 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:33:14+00,36.1030511111111,-79.8199733333333,"2645 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:33:20+00,36.1031755555556,-79.8198488888889,"2647 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:33:23+00,36.1031844444444,-79.8195911111111,"2645 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:33:27+00,36.1031044444444,-79.8192355555556,"2645 Lawndale Dr, Greensboro, NC 27408, USA"
2020-06-12 18:33:29+00,36.1029622222222,-79.8191466666667,"2645 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:33:59+00,36.0990933333333,-79.818,"2348 Lawndale Drive, Greensboro, NC 27408"
2020-06-12 18:34:44+00,36.0962488888889,-79.8168977777778,"2157 Lawndale Drive, Greensboro, NC 27455"
2020-06-12 18:35:29+00,36.0931577777778,-79.8149066666667,"1833 Battleground Avenue, Greensboro, NC 27410"
2020-06-12 18:35:55+00,36.09278,-79.8146311111111,"1800 Pembroke Road, Greensboro, NC 27408"
2020-06-12 18:36:29+00,36.0924866666667,-79.8144355555556,"1800 Battleground Avenue, Greensboro, NC 27408"
2020-06-12 18:36:37+00,36.0916555555556,-79.8135466666667,"1719-1763 US Hwy 220, Greensboro, NC 27408, USA"
2020-06-12 18:36:54+00,36.0909266666667,-79.8121955555556,"1690 Battleground Avenue, Greensboro, NC 27401"
2020-06-12 18:37:18+00,36.0907133333333,-79.8089866666667,"Greensboro, NC 27408"
2020-06-12 18:37:23+00,36.0907866666667,-79.8086044444444,"1286 West Northwood Street, Greensboro, NC 27408"
2020-06-12 18:37:53+00,36.0905688888889,-79.8040444444444,"1167 West Northwood Street, Greensboro, NC 27408"
2020-06-12 18:38:49+00,36.0905311111111,-79.8006933333333,"1201-1203 Grayland St, Greensboro, NC 27408, USA"
2020-06-12 18:42:00+00,36.0903577777778,-79.8007555555556,"1118-1198 Grayland St, Greensboro, NC 27408, USA"
2020-06-12 18:42:02+00,36.0903311111111,-79.80088,"1118-1198 Grayland St, Greensboro, NC 27408, USA"
2020-06-12 18:42:32+00,36.0905866666667,-79.8052533333333,"1194 West Northwood Street, Greensboro, NC 27408"
